# WHO Child Growth Standards; source=https://www.who.int/tools/child-growth-standards/standards/weight-for-age
day,minus2sd,median,plus2sd
0,2.395,3.232,4.230
1,2.352,3.196,4.222
2,2.362,3.210,4.249
3,2.378,3.232,4.280
4,2.397,3.256,4.314
5,2.418,3.282,4.349
6,2.440,3.310,4.386
7,2.464,3.339,4.423
8,2.488,3.369,4.461
9,2.513,3.400,4.500
10,2.540,3.431,4.540
11,2.567,3.464,4.581
12,2.595,3.498,4.623
13,2.623,3.533,4.667
14,2.653,3.569,4.712
15,2.683,3.606,4.758
16,2.714,3.644,4.804
17,2.745,3.682,4.852
18,2.777,3.720,4.899
19,2.808,3.758,4.946
20,2.840,3.797,4.994
21,2.871,3.835,5.042
22,2.903,3.874,5.089
23,2.934,3.912,5.136
24,2.965,3.950,5.183
25,2.996,3.987,5.229
26,3.027,4.025,5.275
27,3.058,4.062,5.321
28,3.088,4.099,5.366
29,3.118,4.135,5.411
30,3.148,4.172,5.456
31,3.178,4.208,5.500
32,3.207,4.243,5.544
33,3.236,4.278,5.587
34,3.265,4.313,5.630
35,3.294,4.348,5.672
36,3.322,4.382,5.714
37,3.350,4.416,5.756
38,3.377,4.449,5.797
39,3.405,4.482,5.837
40,3.432,4.515,5.878
41,3.459,4.547,5.917
42,3.485,4.579,5.957
43,3.512,4.611,5.995
44,3.538,4.642,6.034
45,3.564,4.674,6.072
46,3.589,4.704,6.110
47,3.614,4.735,6.147
48,3.639,4.765,6.184
49,3.664,4.795,6.221
50,3.689,4.824,6.257
51,3.713,4.854,6.293
52,3.737,4.883,6.329
53,3.761,4.912,6.364
54,3.785,4.940,6.399
55,3.808,4.968,6.433
56,3.831,4.996,6.467
57,3.854,5.024,6.501
58,3.877,5.051,6.535
59,3.899,5.078,6.568
60,3.922,5.105,6.601
61,3.944,5.132,6.634
62,3.966,5.158,6.666
63,3.987,5.184,6.699
64,4.009,5.210,6.731
65,4.031,5.236,6.762
66,4.052,5.262,6.794
67,4.073,5.287,6.825
68,4.094,5.312,6.856
69,4.114,5.337,6.886
70,4.135,5.362,6.917
71,4.155,5.386,6.947
72,4.175,5.411,6.977
73,4.195,5.435,7.007
74,4.215,5.459,7.036
75,4.235,5.482,7.066
76,4.255,5.506,7.095
77,4.274,5.530,7.124
78,4.293,5.553,7.152
79,4.312,5.576,7.181
80,4.331,5.599,7.209
81,4.350,5.621,7.237
82,4.369,5.644,7.265
83,4.387,5.666,7.292
84,4.406,5.688,7.320
85,4.424,5.710,7.347
86,4.442,5.732,7.374
87,4.460,5.754,7.401
88,4.478,5.776,7.428
89,4.496,5.797,7.454
90,4.513,5.818,7.480
91,4.531,5.839,7.506
92,4.548,5.860,7.532
93,4.565,5.881,7.558
94,4.582,5.902,7.584
95,4.599,5.922,7.609
96,4.616,5.943,7.634
97,4.633,5.963,7.660
98,4.650,5.983,7.685
99,4.666,6.003,7.710
100,4.683,6.023,7.734
101,4.699,6.043,7.759
102,4.715,6.062,7.783
103,4.731,6.082,7.807
104,4.747,6.101,7.831
105,4.763,6.120,7.855
106,4.779,6.139,7.879
107,4.794,6.158,7.902
108,4.810,6.177,7.926
109,4.825,6.196,7.949
110,4.841,6.214,7.972
111,4.856,6.233,7.995
112,4.871,6.251,8.018
113,4.886,6.269,8.041
114,4.901,6.287,8.063
115,4.916,6.305,8.086
116,4.930,6.323,8.108
117,4.945,6.341,8.130
118,4.960,6.359,8.152
119,4.974,6.376,8.174
120,4.988,6.394,8.196
121,5.003,6.411,8.217
122,5.017,6.428,8.239
123,5.031,6.445,8.260
124,5.045,6.462,8.281
125,5.059,6.479,8.302
126,5.073,6.496,8.323
127,5.086,6.512,8.344
128,5.100,6.529,8.365
129,5.113,6.545,8.385
130,5.127,6.562,8.406
131,5.140,6.578,8.426
132,5.154,6.594,8.446
133,5.167,6.610,8.466
134,5.180,6.626,8.486
135,5.193,6.642,8.506
136,5.206,6.657,8.526
137,5.219,6.673,8.545
138,5.231,6.688,8.565
139,5.244,6.704,8.584
140,5.257,6.719,8.604
141,5.269,6.734,8.623
142,5.282,6.750,8.642
143,5.294,6.765,8.661
144,5.306,6.780,8.679
145,5.318,6.794,8.698
146,5.331,6.809,8.717
147,5.343,6.824,8.735
148,5.355,6.838,8.753
149,5.366,6.853,8.772
150,5.378,6.867,8.790
151,5.390,6.882,8.808
152,5.402,6.896,8.826
153,5.413,6.910,8.844
154,5.425,6.924,8.862
155,5.436,6.938,8.879
156,5.448,6.952,8.897
157,5.459,6.966,8.914
158,5.470,6.980,8.932
159,5.482,6.993,8.949
160,5.493,7.007,8.967
161,5.504,7.020,8.984
162,5.515,7.034,9.001
163,5.526,7.047,9.018
164,5.537,7.061,9.035
165,5.548,7.074,9.051
166,5.558,7.087,9.068
167,5.569,7.100,9.085
168,5.580,7.113,9.101
169,5.590,7.126,9.118
170,5.601,7.139,9.134
171,5.611,7.152,9.151
172,5.622,7.165,9.167
173,5.632,7.178,9.183
174,5.642,7.190,9.199
175,5.653,7.203,9.215
176,5.663,7.215,9.231
177,5.673,7.228,9.247
178,5.683,7.240,9.263
179,5.693,7.253,9.279
180,5.703,7.265,9.295
181,5.713,7.277,9.310
182,5.723,7.289,9.326
183,5.733,7.302,9.341
184,5.743,7.314,9.357
185,5.753,7.326,9.372
186,5.762,7.338,9.388
187,5.772,7.350,9.403
188,5.782,7.361,9.418
189,5.791,7.373,9.433
190,5.801,7.385,9.448
191,5.810,7.397,9.463
192,5.820,7.408,9.478
193,5.829,7.420,9.493
194,5.838,7.431,9.508
195,5.848,7.443,9.523
196,5.857,7.454,9.537
197,5.866,7.466,9.552
198,5.875,7.477,9.567
199,5.884,7.488,9.581
200,5.893,7.500,9.596
201,5.902,7.511,9.610
202,5.911,7.522,9.625
203,5.920,7.533,9.639
204,5.929,7.544,9.653
205,5.938,7.555,9.668
206,5.947,7.566,9.682
207,5.956,7.577,9.696
208,5.965,7.588,9.710
209,5.973,7.599,9.724
210,5.982,7.609,9.738
211,5.991,7.620,9.752
212,5.999,7.631,9.766
213,6.008,7.642,9.780
214,6.016,7.652,9.793
215,6.025,7.663,9.807
216,6.033,7.673,9.821
217,6.042,7.684,9.834
218,6.050,7.694,9.848
219,6.059,7.705,9.862
220,6.067,7.715,9.875
221,6.075,7.725,9.889
222,6.083,7.736,9.902
223,6.092,7.746,9.915
224,6.100,7.756,9.929
225,6.108,7.766,9.942
226,6.116,7.777,9.955
227,6.124,7.787,9.969
228,6.132,7.797,9.982
229,6.140,7.807,9.995
230,6.148,7.817,10.008
231,6.156,7.827,10.021
232,6.164,7.837,10.034
233,6.172,7.847,10.047
234,6.180,7.857,10.060
235,6.188,7.866,10.073
236,6.196,7.876,10.086
237,6.204,7.886,10.099
238,6.211,7.896,10.111
239,6.219,7.905,10.124
240,6.227,7.915,10.137
241,6.234,7.925,10.150
242,6.242,7.934,10.162
243,6.250,7.944,10.175
244,6.257,7.953,10.187
245,6.265,7.963,10.200
246,6.272,7.972,10.212
247,6.280,7.982,10.225
248,6.287,7.991,10.237
249,6.295,8.001,10.249
250,6.302,8.010,10.262
251,6.310,8.019,10.274
252,6.317,8.029,10.286
253,6.324,8.038,10.298
254,6.332,8.047,10.311
255,6.339,8.056,10.323
256,6.346,8.066,10.335
257,6.354,8.075,10.347
258,6.361,8.084,10.359
259,6.368,8.093,10.371
260,6.375,8.102,10.383
261,6.382,8.111,10.395
262,6.389,8.120,10.407
263,6.397,8.129,10.419
264,6.404,8.138,10.431
265,6.411,8.147,10.442
266,6.418,8.156,10.454
267,6.425,8.164,10.466
268,6.432,8.173,10.478
269,6.439,8.182,10.489
270,6.446,8.191,10.501
271,6.453,8.200,10.513
272,6.460,8.208,10.524
273,6.466,8.217,10.536
274,6.473,8.226,10.547
275,6.480,8.235,10.559
276,6.487,8.243,10.570
277,6.494,8.252,10.582
278,6.501,8.260,10.593
279,6.507,8.269,10.604
280,6.514,8.278,10.616
281,6.521,8.286,10.627
282,6.528,8.295,10.638
283,6.534,8.303,10.650
284,6.541,8.312,10.661
285,6.548,8.320,10.672
286,6.554,8.328,10.683
287,6.561,8.337,10.695
288,6.568,8.345,10.706
289,6.574,8.354,10.717
290,6.581,8.362,10.728
291,6.587,8.370,10.739
292,6.594,8.379,10.750
293,6.601,8.387,10.761
294,6.607,8.395,10.772
295,6.614,8.404,10.783
296,6.620,8.412,10.794
297,6.626,8.420,10.805
298,6.633,8.428,10.816
299,6.639,8.436,10.827
300,6.646,8.444,10.838
301,6.652,8.453,10.849
302,6.659,8.461,10.859
303,6.665,8.469,10.870
304,6.671,8.477,10.881
305,6.678,8.485,10.892
306,6.684,8.493,10.902
307,6.690,8.501,10.913
308,6.697,8.509,10.924
309,6.703,8.517,10.935
310,6.710,8.525,10.945
311,6.716,8.533,10.956
312,6.722,8.541,10.966
313,6.728,8.549,10.977
314,6.734,8.557,10.988
315,6.741,8.565,10.998
316,6.747,8.573,11.009
317,6.753,8.581,11.019
318,6.759,8.589,11.030
319,6.766,8.596,11.040
320,6.772,8.604,11.051
321,6.778,8.612,11.061
322,6.784,8.620,11.072
323,6.790,8.628,11.082
324,6.796,8.636,11.093
325,6.803,8.644,11.103
326,6.809,8.651,11.113
327,6.815,8.659,11.124
328,6.821,8.667,11.134
329,6.827,8.674,11.144
330,6.833,8.682,11.154
331,6.839,8.690,11.165
332,6.845,8.698,11.175
333,6.851,8.705,11.185
334,6.857,8.713,11.196
335,6.863,8.721,11.206
336,6.869,8.728,11.216
337,6.875,8.736,11.226
338,6.882,8.744,11.236
339,6.887,8.751,11.247
340,6.893,8.759,11.257
341,6.899,8.766,11.267
342,6.905,8.774,11.277
343,6.911,8.782,11.287
344,6.917,8.789,11.297
345,6.923,8.797,11.307
346,6.929,8.804,11.317
347,6.935,8.812,11.327
348,6.941,8.819,11.337
349,6.947,8.827,11.347
350,6.953,8.834,11.357
351,6.959,8.842,11.368
352,6.965,8.850,11.377
353,6.971,8.857,11.387
354,6.977,8.864,11.397
355,6.983,8.872,11.407
356,6.988,8.879,11.417
357,6.994,8.887,11.427
358,7.000,8.894,11.437
359,7.006,8.902,11.447
360,7.012,8.909,11.457
361,7.018,8.917,11.467
362,7.024,8.924,11.477
363,7.030,8.931,11.486
364,7.035,8.939,11.496
365,7.041,8.946,11.506
366,7.047,8.954,11.516
367,7.053,8.961,11.526
368,7.059,8.968,11.535
369,7.064,8.976,11.545
370,7.070,8.983,11.555
371,7.076,8.990,11.565
372,7.082,8.998,11.575
373,7.088,9.005,11.584
374,7.093,9.012,11.594
375,7.099,9.020,11.604
376,7.105,9.027,11.614
377,7.111,9.034,11.623
378,7.116,9.042,11.633
379,7.122,9.049,11.643
380,7.128,9.056,11.652
381,7.134,9.064,11.662
382,7.140,9.071,11.672
383,7.145,9.078,11.681
384,7.151,9.085,11.691
385,7.157,9.093,11.701
386,7.162,9.100,11.710
387,7.168,9.107,11.720
388,7.174,9.114,11.729
389,7.180,9.122,11.739
390,7.185,9.129,11.749
391,7.191,9.136,11.758
392,7.197,9.143,11.768
393,7.203,9.151,11.777
394,7.208,9.158,11.787
395,7.214,9.165,11.796
396,7.220,9.172,11.806
397,7.225,9.179,11.816
398,7.231,9.187,11.825
399,7.237,9.194,11.835
400,7.242,9.201,11.844
401,7.248,9.208,11.853
402,7.254,9.215,11.863
403,7.259,9.222,11.872
404,7.265,9.230,11.882
405,7.271,9.237,11.891
406,7.276,9.244,11.901
407,7.282,9.251,11.910
408,7.288,9.258,11.920
409,7.293,9.265,11.929
